Timestamp,Age,Gender,Occupation ,Which platform did you use for your recent purchase?  ,Device used during purchase  ,How often do you shop Online ?,Think about your most recent online purchase. Was it planned in advance?  ,  Did you originally intend to buy this product before opening the app/website?  ,How much time did you spend browsing before purchasing?  ,I often buy things when I am feeling stressed.  ,I shop online to improve my mood.  , I find it hard to resist attractive offers.  ,I experience FOMO (Fear of Missing Out) during flash sales.  ,I sometimes buy products without thinking about future need.  ,I feel excited while making spontaneous (Random)  purchases. ,I regret some purchases later. ,I consider myself emotionally influenced while shopping. ,Was the product on discount? ,Did you see a “Limited Time Offer” message? ,Did an influencer/advertisement influence this purchase? ,Did you receive a push notification before buying? ,Discount percentage (if applicable) ,Did peer (Known Person) recommendation influence your purchase?  ,Payment Method Used (Mostly),Do you usually compare prices before purchasing?  ,How often do you add items to cart but do not purchase?  ,"On average, how many impulse (Actual) purchases do you make per month?  ",I carefully plan my purchases in advance.  ,I stick to my budget while shopping. ,I am comfortable spending money without long consideration. ,I review my expenses regularly. ,Would you classify your recent purchase as: 
3/13/2026 12:01:14,25 - 29,Female,Student,Myntra,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,3,4,5,5,4,5,2,4,No,Yes,Yes,No,10 - 30 %,No,Cash on Delivery,Never,Never,More than 5,2,3,4,3,Partially Planned
3/13/2026 12:03:07,25 - 29,Female,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,2,3,1,1,1,2,3,2,No,Yes,No,No,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,0,4,5,2,3,Partially Planned
3/13/2026 12:06:48,25 - 29,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,2,1,3,1,2,1,1,2,Yes,No,No,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,1 - 2,5,4,1,4,Completely Planned
3/13/2026 12:08:34,16 - 20,Male,Student,Meesho,Mobile Browser,Weekly,No,No,Less than 5 minutes,5,4,5,4,4,4,4,4,Yes,Yes,Yes,No,30 - 50 %,No,Buy Now Pay Later,Never,Never,3 - 5,3,2,3,3,Partially Planned
3/13/2026 12:10:21,25 - 29,Female,Student,Flipkart,Laptop / Desktop,Once a month,Yes,No,15 - 30 minutes,2,2,3,3,4,4,2,2,No,No,No,Yes,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Rarely,3 - 5,4,3,2,3,Completely Unplanned
3/13/2026 12:12:06,25 - 29,Female,Student,Myntra,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,3,5,5,5,3,4,3,3,Yes,Yes,No,Yes,10 - 30 %,No,Cash on Delivery,Rarely,Rarely,3 - 5,3,2,3,2,Completely Unplanned
3/13/2026 12:13:49,21 - 24,Female,Student,Amazon,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,5,5,5,5,2,5,No,Yes,Yes,Yes,10 - 30 %,No,Cash on Delivery,Rarely,Never,3 - 5,3,2,3,3,Completely Unplanned
3/13/2026 12:15:37,25 - 29,Female,Self Employed,Meesho,Mobile App,Once a month,No,Yes,15 - 30 minutes,4,4,3,3,2,2,3,2,Yes,No,No,No,30 - 50 %,Yes,Credit Card,Rarely,Rarely,1 - 2,4,3,3,4,Partially Planned
3/13/2026 12:17:23,25 - 29,Male,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,1,2,2,1,1,1,1,3,No,Yes,No,No,0 - 10 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Always,0,5,5,3,3,Completely Planned
3/13/2026 12:19:13,25 - 29,Female,Student,Meesho,Mobile Browser,Multiple times in a month,No,No,5 - 15 minutes,4,5,4,5,4,5,3,4,Yes,No,No,No,30 - 50 %,No,Cash on Delivery,Rarely,Rarely,3 - 5,3,3,4,3,Completely Unplanned
3/13/2026 12:21:02,16 - 20,Male,Student,Myntra,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,4,4,5,5,3,4,2,3,Yes,Yes,No,Yes,30 - 50 %,No,Buy Now Pay Later,Rarely,Rarely,3 - 5,1,3,3,1,Completely Unplanned
3/13/2026 12:22:48,16 - 20,Female,Student,Meesho,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,3,4,5,5,5,5,2,3,Yes,No,No,No,More than 50%,No,Cash on Delivery,Rarely,Never,More than 5,1,1,4,1,Completely Unplanned
3/13/2026 12:24:35,25 - 29,Female,Working Professional,Amazon,Mobile Browser,2 - 3 times a month,No,No,5 - 15 minutes,2,4,3,4,4,4,4,3,Yes,No,Yes,Yes,30 - 50 %,No,Credit Card,Always,Sometimes,3 - 5,3,3,2,2,Completely Unplanned
3/13/2026 12:26:21,30 - 34,Female,Student,Meesho,Mobile App,Weekly,No,Yes,15 - 30 minutes,4,3,2,4,3,3,3,2,No,Yes,Yes,No,10 - 30 %,Yes,Debit Card,Sometimes,Sometimes,3 - 5,4,3,3,4,Completely Unplanned
3/13/2026 12:28:10,35 +,Female,Working Professional,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,2,1,1,2,2,3,2,1,Yes,No,Yes,No,10 - 30 %,Yes,Debit Card,Sometimes,Always,0,4,5,1,4,Completely Planned
3/13/2026 12:30:00,21 - 24,Female,Working Professional,Amazon,Mobile App,Weekly,No,No,5 - 15 minutes,3,5,4,5,3,5,2,5,Yes,Yes,No,Yes,10 - 30 %,No,Cash on Delivery,Never,Rarely,3 - 5,1,3,3,2,Completely Unplanned
3/13/2026 12:31:47,21 - 24,Male,Working Professional,Meesho,Mobile App,Weekly,No,No,5 - 15 minutes,3,5,5,4,4,5,3,3,Yes,Yes,No,No,More than 50%,No,Cash on Delivery,Rarely,Never,More than 5,3,1,4,1,Partially Planned
3/13/2026 12:33:35,30 - 34,Female,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,1,2,2,1,1,2,2,2,No,No,No,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,0,5,5,3,3,Completely Planned
3/13/2026 12:35:24,25 - 29,Male,Working Professional,Flipkart,Mobile Browser,Once a month,Yes,Yes,15 - 30 minutes,1,3,3,2,1,2,3,3,No,No,No,Yes,No Discount,Yes,Debit Card,Always,Sometimes,1 - 2,4,5,2,5,Partially Planned
3/13/2026 12:37:11,21 - 24,Female,Working Professional,Myntra,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,4,4,5,5,4,4,4,5,Yes,Yes,Yes,Yes,10 - 30 %,No,Buy Now Pay Later,Rarely,Never,More than 5,3,1,4,3,Partially Planned
3/13/2026 12:38:56,30 - 34,Female,Working Professional,Amazon,Mobile Browser,Once a month,Yes,Yes,more than 30 minutes,1,2,3,1,1,1,3,3,No,No,No,Yes,0 - 10 %,No,Credit Card,Always,Always,1 - 2,4,5,3,5,Completely Planned
3/13/2026 12:40:46,21 - 24,Male,Student,Ajio,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,3,3,5,5,5,4,3,5,Yes,Yes,Yes,No,30 - 50 %,Yes,Cash on Delivery,Rarely,Rarely,More than 5,2,1,5,1,Completely Unplanned
3/13/2026 12:42:35,25 - 29,Female,Working Professional,Amazon,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,4,5,4,5,5,5,3,5,Yes,Yes,Yes,No,30 - 50 %,No,Cash on Delivery,Never,Never,3 - 5,1,1,4,1,Partially Planned
3/13/2026 12:44:23,25 - 29,Female,Working Professional,Meesho,Mobile App,Once a month,No,Yes,5 - 15 minutes,2,2,4,3,3,3,4,4,No,Yes,No,No,0 - 10 %,Yes,Cash on Delivery,Always,Always,1 - 2,2,2,3,4,Partially Planned
3/13/2026 12:46:14,25 - 29,Female,Working Professional,Meesho,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,4,5,4,4,3,4,3,3,Yes,Yes,No,Yes,10 - 30 %,No,Cash on Delivery,Rarely,Never,3 - 5,1,1,5,1,Completely Unplanned
3/13/2026 12:48:06,21 - 24,Male,Student,Amazon,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,3,4,5,4,5,4,2,3,No,Yes,No,No,10 - 30 %,Yes,Cash on Delivery,Never,Never,3 - 5,2,3,3,3,Partially Planned
3/13/2026 12:49:55,16 - 20,Male,Working Professional,Meesho,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,5,5,4,5,3,5,4,4,Yes,Yes,Yes,No,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Rarely,3 - 5,3,3,4,3,Partially Planned
3/13/2026 12:51:42,21 - 24,Female,Working Professional,Flipkart,Mobile App,Once a month,Yes,Yes,15 - 30 minutes,3,4,3,4,4,4,4,4,No,Yes,No,No,0 - 10 %,Yes,Debit Card,Rarely,Always,3 - 5,3,3,2,2,Completely Planned
3/13/2026 12:53:28,25 - 29,Male,Self Employed,Myntra,Laptop / Desktop,2 - 3 times a month,Yes,No,15 - 30 minutes,4,2,2,4,2,2,4,3,Yes,Yes,No,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,3 - 5,4,4,2,2,Completely Planned
3/13/2026 12:55:14,21 - 24,Female,Working Professional,Ajio,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,4,3,5,5,4,4,4,4,Yes,Yes,Yes,Yes,More than 50%,Yes,Buy Now Pay Later,Rarely,Rarely,More than 5,1,1,4,1,Completely Unplanned
3/13/2026 12:57:01,25 - 29,Female,Self Employed,Myntra,Mobile App,2 - 3 times a month,No,Yes,5 - 15 minutes,3,2,2,2,2,4,4,3,Yes,No,No,Yes,0 - 10 %,Yes,Debit Card,Sometimes,Rarely,1 - 2,4,3,2,4,Completely Unplanned
3/13/2026 12:58:51,30 - 34,Female,Working Professional,Flipkart,Laptop / Desktop,Rarely,Yes,Yes,15 - 30 minutes,3,3,3,1,1,3,2,2,No,No,No,No,10 - 30 %,Yes,Debit Card,Always,Always,1 - 2,5,4,2,3,Partially Planned
3/13/2026 13:00:39,21 - 24,Female,Self Employed,Meesho,Mobile Browser,Once a month,No,No,15 - 30 minutes,3,3,3,4,2,2,4,2,Yes,Yes,Yes,Yes,0 - 10 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Rarely,3 - 5,4,3,3,3,Completely Unplanned
3/13/2026 13:02:20,25 - 29,Male,Student,Meesho,Laptop / Desktop,2 - 3 times a month,No,No,5 - 15 minutes,3,4,2,3,3,3,2,3,Yes,No,Yes,Yes,0 - 10 %,Yes,Credit Card,Rarely,Always,1 - 2,3,4,3,4,Completely Unplanned
3/13/2026 13:04:05,35 +,Female,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,3,1,3,1,1,1,3,3,No,Yes,No,No,0 - 10 %,No,Debit Card,Sometimes,Always,1 - 2,5,5,2,4,Completely Planned
3/13/2026 13:05:50,25 - 29,Female,Working Professional,Myntra,Laptop / Desktop,2 - 3 times a month,No,No,5 - 15 minutes,2,2,3,4,4,2,3,4,Yes,Yes,No,Yes,10 - 30 %,Yes,Debit Card,Always,Rarely,3 - 5,3,2,2,2,Completely Planned
3/13/2026 13:07:35,16 - 20,Male,Working Professional,Myntra,Mobile App,Weekly,No,No,Less than 5 minutes,5,3,5,5,3,5,4,3,Yes,No,Yes,Yes,30 - 50 %,Yes,Cash on Delivery,Rarely,Rarely,3 - 5,3,1,3,2,Partially Planned
3/13/2026 13:09:19,25 - 29,Female,Working Professional,Amazon,Laptop / Desktop,Rarely,Yes,Yes,more than 30 minutes,1,2,2,1,2,1,2,3,Yes,No,No,Yes,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,3,5,3,3,Partially Planned
3/13/2026 13:10:59,16 - 20,Female,Student,Amazon,Mobile App,Weekly,No,No,5 - 15 minutes,3,3,5,4,4,5,3,3,Yes,Yes,No,Yes,More than 50%,No,Buy Now Pay Later,Rarely,Rarely,More than 5,2,2,4,3,Partially Planned
3/13/2026 13:12:45,21 - 24,Female,Student,Amazon,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,5,5,4,4,4,5,No,Yes,No,Yes,10 - 30 %,No,Buy Now Pay Later,Never,Rarely,3 - 5,1,3,4,3,Partially Planned
3/13/2026 13:14:30,25 - 29,Female,Working Professional,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,2,1,3,1,2,3,3,2,No,No,Yes,No,10 - 30 %,No,Debit Card,Always,Always,1 - 2,3,5,2,4,Completely Planned
3/13/2026 13:16:13,25 - 29,Female,Working Professional,Flipkart,Mobile App,Weekly,No,No,15 - 30 minutes,4,4,2,2,4,2,4,3,No,No,No,No,30 - 50 %,Yes,Credit Card,Sometimes,Rarely,1 - 2,2,3,4,4,Completely Unplanned
3/13/2026 13:17:57,21 - 24,Male,Working Professional,Myntra,Mobile App,Weekly,No,No,5 - 15 minutes,4,5,5,5,5,5,4,4,Yes,No,Yes,Yes,More than 50%,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Never,More than 5,2,2,5,2,Completely Unplanned
3/13/2026 13:19:38,25 - 29,Male,Working Professional,Myntra,Mobile Browser,Weekly,No,Yes,15 - 30 minutes,4,3,2,2,3,3,2,2,Yes,Yes,Yes,No,0 - 10 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,4,4,4,4,Completely Planned
3/13/2026 13:21:24,16 - 20,Female,Student,Meesho,Mobile App,Weekly,No,No,5 - 15 minutes,4,3,4,5,5,5,3,5,Yes,Yes,No,No,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Never,More than 5,1,2,4,1,Partially Planned
3/13/2026 13:23:10,30 - 34,Male,Working Professional,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,1,3,1,1,1,3,3,3,Yes,Yes,Yes,No,0 - 10 %,Yes,Debit Card,Always,Sometimes,0,4,5,2,5,Completely Planned
3/13/2026 13:24:56,30 - 34,Female,Working Professional,Amazon,Mobile Browser,Once a month,Yes,Yes,15 - 30 minutes,1,3,3,1,2,3,1,2,No,No,No,Yes,0 - 10 %,No,Credit Card,Always,Sometimes,0,4,4,2,3,Partially Planned
3/13/2026 13:26:41,25 - 29,Female,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,3,1,1,1,1,1,1,3,Yes,No,No,No,No Discount,Yes,Credit Card,Sometimes,Sometimes,1 - 2,4,5,1,4,Completely Planned
3/13/2026 13:28:22,16 - 20,Female,Student,Myntra,Mobile Browser,Multiple times in a month,No,No,5 - 15 minutes,3,3,5,4,5,5,4,5,Yes,Yes,Yes,Yes,10 - 30 %,No,Buy Now Pay Later,Never,Rarely,3 - 5,3,3,5,3,Completely Unplanned
3/13/2026 13:30:03,21 - 24,Male,Working Professional,Amazon,Mobile App,Weekly,No,No,Less than 5 minutes,5,3,5,5,4,4,4,5,Yes,Yes,Yes,Yes,More than 50%,No,Buy Now Pay Later,Never,Never,3 - 5,3,3,5,2,Completely Unplanned
3/13/2026 13:31:46,16 - 20,Female,Student,Ajio,Mobile App,Weekly,No,No,Less than 5 minutes,3,5,5,5,4,5,2,3,Yes,No,No,No,More than 50%,Yes,Buy Now Pay Later,Rarely,Rarely,More than 5,2,1,3,3,Partially Planned
3/13/2026 13:33:38,25 - 29,Female,Student,Myntra,Mobile App,Weekly,No,No,Less than 5 minutes,3,3,5,5,5,5,4,5,Yes,No,Yes,Yes,10 - 30 %,Yes,Buy Now Pay Later,Rarely,Rarely,More than 5,2,3,3,1,Completely Unplanned
3/13/2026 13:35:31,30 - 34,Male,Working Professional,Amazon,Laptop / Desktop,Rarely,Yes,Yes,15 - 30 minutes,1,3,2,1,1,3,1,2,No,No,Yes,No,0 - 10 %,No,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,4,5,3,3,Partially Planned
3/13/2026 13:37:19,25 - 29,Female,Working Professional,Meesho,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,5,3,4,5,5,5,4,3,Yes,No,Yes,Yes,30 - 50 %,Yes,Buy Now Pay Later,Never,Rarely,More than 5,3,2,3,2,Partially Planned
3/13/2026 13:39:04,21 - 24,Male,Student,Amazon,Mobile App,Weekly,No,No,Less than 5 minutes,5,3,5,5,4,4,4,3,Yes,Yes,No,No,More than 50%,No,"UPI (Gpay, Phonepe, Paytm)",Rarely,Rarely,More than 5,3,3,3,2,Completely Unplanned
3/13/2026 13:40:53,25 - 29,Female,Self Employed,Amazon,Laptop / Desktop,Once a month,No,Yes,15 - 30 minutes,4,3,3,3,4,2,2,3,Yes,No,No,Yes,10 - 30 %,Yes,Cash on Delivery,Rarely,Always,3 - 5,4,4,2,3,Completely Planned
3/13/2026 13:42:36,21 - 24,Male,Student,Ajio,Mobile Browser,Multiple times in a month,No,No,5 - 15 minutes,4,5,4,4,4,5,2,4,Yes,Yes,No,Yes,30 - 50 %,No,Buy Now Pay Later,Never,Never,More than 5,2,2,5,2,Partially Planned
3/13/2026 13:44:21,30 - 34,Male,Self Employed,Flipkart,Laptop / Desktop,Rarely,Yes,Yes,more than 30 minutes,2,2,1,1,2,3,1,3,No,No,No,No,0 - 10 %,Yes,Debit Card,Always,Always,1 - 2,4,4,2,3,Completely Planned
3/13/2026 13:46:09,21 - 24,Female,Working Professional,Ajio,Mobile Browser,Multiple times in a month,No,No,5 - 15 minutes,4,3,5,5,4,5,4,3,No,Yes,Yes,Yes,More than 50%,Yes,Buy Now Pay Later,Rarely,Rarely,3 - 5,1,3,4,1,Completely Unplanned
3/13/2026 13:47:53,16 - 20,Female,Student,Meesho,Mobile App,Weekly,No,No,Less than 5 minutes,5,3,5,5,4,5,2,5,Yes,Yes,Yes,No,30 - 50 %,Yes,Buy Now Pay Later,Rarely,Never,More than 5,1,3,4,1,Partially Planned
3/13/2026 13:49:38,25 - 29,Male,Self Employed,Flipkart,Laptop / Desktop,Rarely,Yes,Yes,more than 30 minutes,1,3,3,1,1,1,3,3,Yes,No,No,Yes,10 - 30 %,No,Credit Card,Sometimes,Always,1 - 2,3,5,1,4,Completely Planned
3/13/2026 13:51:24,25 - 29,Female,Working Professional,Amazon,Mobile Browser,Once a month,Yes,Yes,more than 30 minutes,2,3,2,2,1,2,1,1,Yes,No,Yes,No,10 - 30 %,Yes,Credit Card,Always,Sometimes,0,4,5,3,3,Partially Planned
3/13/2026 13:53:12,30 - 34,Female,Student,Meesho,Laptop / Desktop,2 - 3 times a month,Yes,Yes,15 - 30 minutes,3,4,2,2,3,4,2,2,No,Yes,No,Yes,0 - 10 %,No,Debit Card,Sometimes,Sometimes,1 - 2,2,3,4,3,Completely Planned
3/13/2026 13:54:55,21 - 24,Female,Working Professional,Meesho,Mobile App,2 - 3 times a month,Yes,Yes,15 - 30 minutes,2,2,2,4,4,2,3,2,Yes,No,No,No,10 - 30 %,No,Cash on Delivery,Rarely,Always,1 - 2,4,2,2,2,Completely Unplanned
3/13/2026 13:56:45,25 - 29,Male,Working Professional,Amazon,Mobile Browser,Once a month,Yes,Yes,15 - 30 minutes,2,3,2,2,1,3,3,2,No,No,No,No,0 - 10 %,Yes,Credit Card,Sometimes,Always,0,3,5,1,3,Completely Planned
3/13/2026 13:58:30,21 - 24,Female,Working Professional,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,4,5,4,4,5,4,3,No,No,No,Yes,10 - 30 %,No,Cash on Delivery,Rarely,Never,3 - 5,2,1,4,2,Completely Unplanned
3/13/2026 14:00:18,25 - 29,Female,Student,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,3,5,5,4,3,5,3,5,Yes,No,Yes,Yes,More than 50%,No,Cash on Delivery,Rarely,Rarely,More than 5,2,2,4,3,Partially Planned
3/13/2026 14:02:04,30 - 34,Female,Self Employed,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,3,1,3,2,1,2,3,3,Yes,No,No,No,10 - 30 %,Yes,Debit Card,Always,Always,1 - 2,3,5,3,4,Completely Planned
3/13/2026 14:03:46,30 - 34,Female,Working Professional,Flipkart,Mobile Browser,Once a month,Yes,Yes,15 - 30 minutes,1,1,1,1,2,2,2,2,Yes,No,No,No,No Discount,No,Credit Card,Sometimes,Sometimes,1 - 2,3,4,3,5,Completely Planned
3/13/2026 14:05:34,25 - 29,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,3,3,1,1,1,2,2,3,No,No,No,No,10 - 30 %,No,Credit Card,Sometimes,Sometimes,1 - 2,3,5,2,5,Partially Planned
3/13/2026 14:07:16,35 +,Male,Self Employed,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,1,2,2,1,2,3,3,3,No,No,No,No,No Discount,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,0,5,4,2,5,Partially Planned
3/13/2026 14:09:01,30 - 34,Female,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,1,1,2,1,2,2,3,3,No,No,No,No,10 - 30 %,Yes,Debit Card,Sometimes,Sometimes,1 - 2,3,5,3,3,Completely Planned
3/13/2026 14:10:48,21 - 24,Female,Working Professional,Ajio,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,4,5,4,4,4,5,3,4,No,No,Yes,No,More than 50%,Yes,Buy Now Pay Later,Rarely,Never,More than 5,3,2,5,2,Completely Unplanned
3/13/2026 14:12:33,30 - 34,Female,Student,Amazon,Mobile App,2 - 3 times a month,No,No,5 - 15 minutes,3,2,3,3,4,4,2,3,No,Yes,No,Yes,0 - 10 %,Yes,Credit Card,Always,Always,1 - 2,2,2,2,3,Completely Unplanned
3/13/2026 14:14:19,21 - 24,Male,Student,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,3,4,4,5,3,5,2,3,No,Yes,Yes,Yes,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Never,Rarely,More than 5,3,1,5,1,Completely Unplanned
3/13/2026 14:16:02,25 - 29,Male,Working Professional,Meesho,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,4,3,5,5,5,5,3,4,No,Yes,No,Yes,30 - 50 %,Yes,Buy Now Pay Later,Rarely,Never,3 - 5,3,1,3,3,Completely Unplanned
3/13/2026 14:17:49,16 - 20,Female,Working Professional,Ajio,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,3,3,4,5,5,4,4,3,Yes,Yes,No,Yes,10 - 30 %,No,Cash on Delivery,Never,Never,More than 5,3,3,3,1,Completely Unplanned
3/13/2026 14:19:34,25 - 29,Female,Working Professional,Flipkart,Mobile App,2 - 3 times a month,No,Yes,15 - 30 minutes,3,2,4,2,2,2,3,3,Yes,No,Yes,No,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Rarely,3 - 5,4,3,4,4,Partially Planned
3/13/2026 14:21:23,30 - 34,Male,Self Employed,Flipkart,Mobile App,Weekly,Yes,No,15 - 30 minutes,2,2,2,2,3,4,2,2,Yes,Yes,Yes,Yes,0 - 10 %,No,Cash on Delivery,Rarely,Sometimes,1 - 2,2,2,4,3,Completely Unplanned
3/13/2026 14:23:11,25 - 29,Female,Student,Ajio,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,5,5,4,5,3,5,2,3,Yes,No,Yes,Yes,More than 50%,No,Buy Now Pay Later,Rarely,Never,More than 5,3,1,5,3,Partially Planned
3/13/2026 14:24:59,21 - 24,Female,Student,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,3,4,5,5,5,2,3,Yes,Yes,Yes,Yes,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Never,3 - 5,3,3,4,3,Completely Unplanned
3/13/2026 14:26:52,30 - 34,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,2,3,1,1,2,3,3,2,Yes,No,No,Yes,10 - 30 %,Yes,Debit Card,Always,Sometimes,0,5,4,3,4,Partially Planned
3/13/2026 14:28:35,25 - 29,Male,Working Professional,Myntra,Mobile App,Weekly,No,No,Less than 5 minutes,4,5,4,5,3,4,4,3,Yes,Yes,Yes,Yes,More than 50%,No,Buy Now Pay Later,Never,Rarely,3 - 5,3,1,5,3,Completely Unplanned
3/13/2026 14:30:18,30 - 34,Female,Working Professional,Myntra,Laptop / Desktop,Once a month,Yes,No,15 - 30 minutes,2,2,2,2,2,4,4,4,Yes,No,Yes,Yes,10 - 30 %,Yes,Cash on Delivery,Always,Always,1 - 2,4,3,4,3,Completely Planned
3/13/2026 14:32:06,21 - 24,Male,Self Employed,Myntra,Mobile App,Once a month,No,Yes,15 - 30 minutes,3,4,4,4,4,2,3,3,Yes,No,No,Yes,30 - 50 %,Yes,Cash on Delivery,Sometimes,Rarely,3 - 5,2,3,4,4,Partially Planned
3/13/2026 14:33:50,25 - 29,Female,Self Employed,Myntra,Mobile App,Once a month,No,No,5 - 15 minutes,3,2,4,4,4,4,2,2,No,Yes,Yes,Yes,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,4,2,4,4,Completely Planned
3/13/2026 14:35:43,21 - 24,Female,Student,Amazon,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,5,5,3,4,2,5,No,Yes,No,Yes,30 - 50 %,No,Cash on Delivery,Never,Rarely,More than 5,1,1,3,2,Partially Planned
3/13/2026 14:37:27,35 +,Male,Self Employed,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,1,3,1,2,1,3,3,1,No,No,No,Yes,10 - 30 %,No,Credit Card,Sometimes,Always,0,4,5,1,4,Partially Planned
3/13/2026 14:39:17,25 - 29,Female,Working Professional,Myntra,Laptop / Desktop,Once a month,Yes,No,5 - 15 minutes,3,3,2,2,4,2,3,4,Yes,Yes,No,No,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,1 - 2,4,2,3,2,Partially Planned
3/13/2026 14:41:04,30 - 34,Female,Working Professional,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,1,3,3,1,2,3,1,2,Yes,No,No,No,No Discount,No,Credit Card,Sometimes,Always,0,4,5,2,3,Partially Planned
3/13/2026 14:42:49,25 - 29,Female,Student,Meesho,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,4,3,4,5,4,5,4,3,Yes,Yes,No,Yes,30 - 50 %,Yes,Buy Now Pay Later,Rarely,Never,More than 5,3,2,3,2,Partially Planned
3/13/2026 14:44:39,25 - 29,Male,Student,Myntra,Mobile App,Weekly,No,No,Less than 5 minutes,4,5,5,4,3,5,4,5,Yes,No,Yes,Yes,More than 50%,Yes,Buy Now Pay Later,Never,Never,3 - 5,3,2,5,2,Completely Unplanned
3/13/2026 14:46:26,21 - 24,Female,Self Employed,Myntra,Laptop / Desktop,Weekly,Yes,No,15 - 30 minutes,4,2,3,2,2,3,4,3,Yes,No,No,Yes,10 - 30 %,No,Cash on Delivery,Rarely,Rarely,3 - 5,2,3,3,2,Completely Planned
3/13/2026 14:48:13,21 - 24,Female,Working Professional,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,4,5,5,5,5,4,3,5,No,Yes,Yes,No,More than 50%,Yes,Cash on Delivery,Rarely,Never,3 - 5,1,1,3,2,Completely Unplanned
3/13/2026 14:50:07,25 - 29,Male,Student,Ajio,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,4,5,5,5,3,4,3,5,Yes,Yes,Yes,Yes,30 - 50 %,Yes,Buy Now Pay Later,Rarely,Never,More than 5,2,2,3,2,Partially Planned
